[22:11:03][WATCHDOG] CONNECTED: 212000584 | Balance: $299,501.84
[22:56:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[22:57:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[22:58:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[22:59:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:00:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:01:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:02:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:03:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:04:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:05:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:06:10][WATCHDOG] CONNECTED: 212000584 | Balance: $299,519.70
[23:06:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:07:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:07:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:08:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:08:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:09:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:09:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:10:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:10:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:11:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:11:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:12:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:12:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:13:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:13:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:14:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:14:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:15:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:15:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:16:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:16:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:17:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:17:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:18:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:18:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:19:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:19:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:20:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:20:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:21:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:21:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:22:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:22:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:23:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:23:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:24:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:24:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:25:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:25:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:26:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:26:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:27:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:27:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:28:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:28:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:29:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:29:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:30:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:30:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:31:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:31:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:32:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:32:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:33:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:33:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:34:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:34:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:35:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:35:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:36:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:36:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:37:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:37:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:38:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:38:59][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:39:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:40:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:40:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:41:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:41:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:42:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:42:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:43:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:43:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:44:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:44:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:45:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:45:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:46:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:46:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:47:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:47:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:48:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:48:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:49:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:49:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:50:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:50:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:51:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:51:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:52:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:52:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:53:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:53:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:54:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:54:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:55:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:55:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:56:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:56:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:57:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:57:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:58:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:58:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:59:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[23:59:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:00:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:00:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:01:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:01:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:02:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:02:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:03:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:03:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:04:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:04:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:05:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:05:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:06:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:06:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:07:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:07:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:08:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:08:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:09:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:09:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:09:08][WATCHDOG] CONNECTED: 212000584 | Balance: $299,519.70
[00:10:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:10:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:10:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:11:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:11:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:11:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:12:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:12:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:12:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:13:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:13:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:13:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:14:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:14:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:14:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:15:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:15:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:15:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:16:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:16:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:16:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:17:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:17:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:17:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:18:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:18:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:18:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:19:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:19:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:19:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:20:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:20:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:20:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:21:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:21:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:21:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:22:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:22:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:22:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:23:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:23:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:23:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:24:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:24:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:24:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:25:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:25:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:25:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:26:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:26:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:26:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:27:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:27:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:27:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:28:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:28:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:28:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:29:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:29:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:29:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:30:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:30:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:30:05][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:31:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:31:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:31:06][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:32:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:32:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:32:06][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:33:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:33:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:33:06][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:34:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:34:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:34:06][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:35:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:35:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:35:06][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:36:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:36:03][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:36:06][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:37:00][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:37:04][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[00:37:06][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[01:04:01][WATCHDOG] CONNECTED: 212000584 | Balance: $299,519.70
[01:04:56][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[01:05:56][WATCHDOG] Balance: $299,519.70 | Positions Closed: 0
[01:07:17][WATCHDOG] MT5 init failed: (-10005, 'IPC timeout')
